species,unit,individual,leaf.age,replicate,upper.count,lower.count,years.since.fire
sabeto,56c,7,old,2,87,98,30
sabeto,56c,8,new,1,82,78,30
sabeto,56c,8,new,2,83,86,30
sabeto,56c,8,old,1,77,72,30
sabeto,56c,8,old,2,87,97,30
sabeto,56c,9,new,1,64,76,30
sabeto,56c,9,new,2,87,79,30
sabeto,56c,9,old,1,71,77,30
sabeto,56c,9,old,2,82,91,30
sabeto,56c,10,new,1,63,76,30
sabeto,56c,10,new,2,80,89,30
sabeto,56c,10,old,1,69,60,30
sabeto,56c,10,old,2,68,81,30
sabeto,58e,1,new,1,67,68,3
sabeto,58e,1,new,2,72,70,3
sabeto,58e,1,old,1,74,82,3
sabeto,58e,1,old,2,79,84,3
sabeto,58e,2,new,1,69,70,3
sabeto,58e,2,new,2,74,73,3
sabeto,58e,2,old,1,71,79,3
sabeto,58e,2,old,2,67,84,3
sabeto,58e,3,new,1,79,93,3
sabeto,58e,3,new,2,77,98,3
sabeto,58e,3,old,1,80,93,3
sabeto,58e,3,old,2,84,105,3
sabeto,58e,4,new,1,90,86,3
sabeto,58e,4,new,2,85,86,3
sabeto,58e,4,old,1,69,75,3
sabeto,58e,4,old,2,83,80,3
sabeto,58e,5,new,1,84,82,3
sabeto,58e,5,new,2,81,89,3
sabeto,58e,5,old,1,99,104,3
sabeto,58e,5,old,2,118,108,3
sabeto,58e,6,new,1,71,77,3
sabeto,58e,6,new,2,65,92,3
sabeto,58e,6,old,1,88,86,3
sabeto,58e,6,old,2,84,83,3
sabeto,58e,7,new,1,59,53,3
sabeto,58e,7,new,2,66,72,3
sabeto,58e,7,old,1,72,69,3
sabeto,58e,7,old,2,67,73,3
sabeto,58e,8,new,1,73,75,3
sabeto,58e,8,new,2,88,85,3
sabeto,58e,8,old,1,65,72,3
sabeto,58e,8,old,2,68,70,3
sabeto,58e,9,new,1,77,82,3
sabeto,58e,9,new,2,80,76,3
sabeto,58e,9,old,1,65,71,3
sabeto,58e,9,old,2,74,82,3
sabeto,58e,10,new,1,83,77,3
sabeto,58e,10,new,2,86,84,3
sabeto,58e,10,old,1,73,81,3
sabeto,58e,10,old,2,77,77,3
sabeto,58A,1,new,1,81,75,1
sabeto,58A,1,new,2,81,80,1
sabeto,58A,1,old,1,78,78,1
sabeto,58A,1,old,2,72,62,1
sabeto,58A,2,new,1,92,98,1
sabeto,58A,2,new,2,106,109,1
sabeto,58A,2,old,1,77,74,1
sabeto,58A,2,old,2,81,80,1
sabeto,58A,3,new,1,66,75,1
sabeto,58A,3,new,2,70,64,1
sabeto,58A,3,old,1,42,61,1
sabeto,58A,3,old,2,72,71,1
sabeto,58A,4,new,1,75,77,1
sabeto,58A,4,new,2,82,81,1
sabeto,58A,4,old,1,64,76,1
sabeto,58A,4,old,2,69,68,1
sabeto,58A,5,new,1,86,88,1
sabeto,58A,5,new,2,96,86,1
sabeto,58A,5,old,1,73,58,1
sabeto,58A,5,old,2,67,70,1
sabeto,58A,6,new,1,80,79,1
sabeto,58A,6,new,2,88,83,1
sabeto,58A,6,old,1,65,77,1
